BRAND,MODEL,OS,PRIMARY CAMERA,SELFIE CAMERA,GPU,CPU,INTERNAL MEMORY,SENSORS,BATTERY,PRICE
Samsung,Galaxy Xcover FieldPro,Android 9.0 (Pie),"12 MP, PDAF",8 MP,Mali-G72 MP18,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),32GB 3GB RAM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4500 mAh battery,NA
Samsung,Galaxy A70s,Android 9.0 (Pie); One UI,"64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor","32 MP, f/2.0, 25mm (wide), 1/2.8"", 0.8µm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"128GB 6GB RAM, 128GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,"₹ 28,999"
Samsung,Galaxy A20s,Android 9.0 (Pie); One UI,"13 MP, f/1.8, 27mm (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor","8 MP, f/2.0",Adreno 506,Octa-core 1.8 GHz Cortex-A53,"32GB 3GB RAM, 64GB 4GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 169.95 / £ 164.18 / € 191.36 / ₹ 11,990"
Samsung,Galaxy M30s,Android 9.0 (Pie); One UI,"48 MP, f/2.0, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide)
5 MP, f/2.2, depth sensor","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Mali-G72 MP3,Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"64GB 4GB RAM, 128GB 6GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 6000 mAh battery,"$ 269.00 / £ 216.90 / € 249.00 / ₹ 13,999"
Samsung,Galaxy M10s,Android 9.0 (Pie),"13 MP, f/1.9, 27mm (wide), 1/3.1"", 1.12µm, PDAF
5 MP, f/2.2, 12mm (ultrawide)","8 MP, f/2.0",Mali-G71 MP2,Octa-core (2x1.6 GHz Cortex-A73 & 6x1.35 GHz Cortex-A53),32GB 3GB RAM,"Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,"$ 189.99 / £ 149.90 / ₹ 8,499"
Samsung,Galaxy Fold 5G,Android 9.0 (Pie),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1/3.1"", 1.0µm","10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm
8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor

Cover camera:
10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),512GB 12GB RAM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Po 4235 mAh battery,"$ 2,096.98 / £ 1,799.00 / € 2,099.00"
Samsung,Galaxy Fold,Android 9.0 (Pie),"12 MP, f/1.5-2.4, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, AF, OIS, 2x optical zoom
16 MP, f/2.2, 12mm (ultrawide), 1/3.1"", 1.0µm","10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm
8 MP, f/1.9, 24mm (wide), 1.22µm, depth sensor

Cover camera:
10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),512GB 12GB RAM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Po 4380 mAh battery,"$ 2,089.99 / £ 2,088.47 / € 2,099.00"
Samsung,Galaxy Tab Active Pro,Android 9.0 (Pie),"13 MP, AF",8 MP,Adreno 616,Octa-core (2x2.0 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),64GB 4GB RAM,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 7600 mAh battery,About 600 EUR
Samsung,Galaxy A90 5G,Android 9.0 (Pie); One UI,"48 MP, f/2.0, 26mm (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.2, depth sensor","32 MP, f/2.0, 25mm (wide), 1/2.8"", 0.8µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 128GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,$ 599.99 / £ 619.99
Samsung,Galaxy A30s,Android 9.0 (Pie),"25 MP, f/1.7, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, f/2.2, depth sensor
","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Mali-G71 MP2,Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","Fingerprint (under display, optical), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 223.87 / £ 193.00 / € 212.00 / ₹ 11,498"
